iter	Passed	Remaining
139	27680	170039
140	27895	169946
141	28106	169827
142	28288	169532
143	28454	169146
144	28684	169141
145	28841	168704
146	29007	168324
147	29186	168021
148	29381	167810
149	29575	167591
150	29803	167572
151	30016	167463
152	30233	167373
153	30474	167410
154	30656	167128
155	30883	167087
156	31083	166903
157	31271	166647
158	31439	166295
159	31626	166039
160	31855	166004
161	32045	165765
162	32201	165352
163	32384	165084
164	32521	164578
165	32722	164402
166	32907	164145
167	33115	164000
168	33313	163808
169	33497	163546
170	33686	163311
171	33902	163204
172	34051	162777
173	34335	162997
174	34511	162698
175	34690	162416
176	34862	162099
177	35038	161808
178	35201	161452
179	35373	161146
180	35564	160925
181	35776	160799
182	35948	160491
183	36135	160252
184	36318	159997
185	36531	159873
186	36719	159640
187	36944	159570
188	37100	159198
189	37254	158820
190	37469	158704
191	37677	158558
192	37898	158467
193	38088	158244
194	38259	157941
195	38438	157677
196	38628	157454
197	38823	157253
198	39002	156989
199	39216	156865
200	39451	156823
201	39697	156822
202	39917	156719
203	40112	156517
204	40322	156372
205	40515	156162
206	40701	155923
207	40957	155953
208	41190	155892
209	41459	155968
210	41776	156215
211	42046	156286
212	42304	156308
213	42502	156105
214	42679	155829
215	42892	155684
216	43123	155603
217	43322	155403
218	43518	155197
219	43719	155006
220	43929	154847
221	44118	154614
222	44312	154398
223	44486	154113
224	44698	153962
225	44898	153766
226	45068	153471
227	45233	153158
228	45419	152920
229	45585	152611
230	45849	152633
231	46040	152408
232	46212	152124
233	46428	151983
234	46598	151694
235	46757	151366
236	46923	151064
237	47061	150675
238	47255	150465
239	47447	150248
240	47732	150328
241	47923	150107
242	48115	149889
243	48302	149659
244	48477	149390
245	48643	149092
246	48851	148929
247	49056	148752
248	49208	148415
249	49407	148221
250	49593	147990
251	49746	147660
252	49903	147344
253	50099	147142
254	50277	146890
255	50441	146595
256	50630	146374
257	50833	146194
258	51059	146081
259	51240	145839
260	51405	145551
261	51552	145211
262	51734	144975
263	51900	144690
264	52068	144415
265	52300	144319
266	52497	144122
267	52703	143952
268	52882	143707
269	53128	143642
270	53380	143594
271	53617	143505
272	53907	143557
273	54124	143411
274	54347	143279
275	54546	143085
276	54757	142924
277	55064	143008
278	55268	142825
279	55495	142702
280	55690	142496
281	55943	142438
282	56201	142391
283	56403	142199
284	56549	141870
285	56770	141728
286	57029	141679
287	57221	141464
288	57382	141173
289	57593	141003
290	57853	140956
291	58099	140871
292	58283	140635
293	58471	140410
294	58729	140352
295	58911	140113
296	59108	139910
297	59336	139779
298	59585	139696
299	59812	139561
300	60023	139389
301	60210	139161
302	60408	138959
303	60577	138690
304	60807	138560
305	61004	138355
306	61236	138230
307	61407	137966
308	61576	137699
309	61781	137513
310	62015	137390
311	62211	137185
312	62387	136933
313	62591	136744
314	62806	136580
315	63014	136397
316	63194	136158
317	63369	135906
318	63530	135625
319	63675	135311
320	63929	135228
321	64104	134978
322	64299	134771
323	64464	134499
324	64665	134305
325	64912	134204
326	65051	133883
327	65269	133723
328	65506	133601
329	65711	133414
330	65907	133208
331	66074	132944
332	66246	132690
333	66434	132471
334	66581	132168
335	66742	131895
336	66929	131675
337	67124	131469
338	67300	131225
339	67502	131034
340	67705	130844
341	67883	130605
342	68109	130461
343	68319	130282
344	68569	130182
345	68815	130073
346	69110	130055
347	69304	129845
348	69504	129648
349	69706	129454
350	69930	129301
351	70179	129193
352	70394	129023
353	70623	128877
354	70840	128709
355	71005	128448
356	71179	128203
357	71372	127991
358	71544	127744
359	71719	127501
360	71978	127407
361	72165	127187
362	72350	126962
363	72535	126737
364	72731	126532
365	72958	126381
366	73204	126262
367	73376	126016
368	73616	125886
369	73774	125616
370	74019	125494
371	74203	125268
372	74446	125142
373	74634	124922
374	74876	124793
375	75038	124532
376	75259	124367
377	75459	124168
378	75622	123909
379	75818	123704
380	76002	123479
381	76234	123332
382	76434	123134
383	76710	123056
384	76935	122896
385	77105	122649
386	77289	122425
387	77522	122278
388	77653	121969
389	77842	121753
390	78015	121512
391	78183	121264
392	78332	120986
393	78505	120747
394	78755	120625
395	78988	120477
396	79158	120232
397	79318	119974
398	79495	119741
399	79701	119551
400	79898	119350
401	80046	119073
402	80223	118841
403	80451	118685
404	80655	118494
405	80880	118332
406	81080	118134
407	81313	117984
408	81556	117847
409	81735	117619
410	81963	117460
411	82146	117238
412	82298	116971
413	82502	116779
414	82678	116547
415	82866	116331
416	83052	116114
417	83239	115898
418	83433	115691
419	83632	115492
420	83857	115329
421	84047	115117
422	84249	114921
423	84446	114720
424	84648	114524
425	84882	114372
426	85177	114300
427	85390	114119
428	85631	113976
429	85867	113823
430	86076	113636
431	86304	113473
432	86533	113313
433	86749	113134
434	87008	113011
435	87229	112837
436	87395	112593
437	87566	112356
438	87759	112148
439	87999	111999
440	88234	111843
441	88436	111645
442	88622	111428
443	88833	111241
444	89079	111098
445	89332	110964
446	89596	110843
447	89789	110633
448	90045	110501
449	90256	110313
450	90466	110124
451	90675	109934
452	90900	109762
453	91087	109546
454	91371	109444
455	91598	109275
456	91778	109049
457	91956	108822
458	92131	108590
459	92324	108380
460	92494	108144
461	92709	107960
462	92892	107739
463	93105	107553
464	93264	107304
465	93412	107044
466	93643	106878
467	93835	106667
468	94018	106447
469	94182	106205
470	94360	105979
471	94517	105731
472	94730	105545
473	94869	105277
474	95100	105110
475	95338	104952
476	95528	104740
477	95683	104491
478	95849	104253
479	96050	104054
480	96185	103784
481	96392	103592
482	96627	103429
483	96829	103231
484	97005	103005
485	97189	102789
486	97373	102572
487	97549	102347
488	97792	102192
489	97983	101983
490	98225	101826
491	98441	101643
492	98667	101469
493	98915	101318
494	99130	101132
495	99330	100932
496	99512	100714
497	99749	100550
498	99960	100360
499	100167	100167
500	100364	99963
501	100565	99764
502	100792	99590
503	101051	99447
504	101277	99271
505	101421	99015
506	101670	98862
507	101892	98683
508	102093	98482
509	102257	98247
510	102450	98039
511	102670	97857
512	102897	97682
513	103076	97461
514	103311	97293
515	103537	97116
516	103705	96885
517	103933	96710
518	104161	96534
519	104375	96346
520	104583	96152
521	104770	95939
522	104978	95745
523	105222	95583
524	105417	95378
525	105655	95210
526	105852	95005
527	106100	94847
528	106361	94699
529	106584	94517
530	106786	94318
531	106973	94104
532	107168	93898
533	107357	93686
534	107587	93510
535	107771	93294
536	107973	93094
537	108147	92870
538	108344	92665
539	108518	92441
540	108664	92193
541	108794	91933
542	109011	91746
543	109223	91554
544	109443	91370
545	109635	91162
546	109837	90962
547	110031	90755
548	110264	90581
549	110420	90344
550	110616	90139
551	110759	89891
552	110930	89666
553	111142	89475
554	111308	89247
555	111496	89036
556	111679	88822
557	111854	88601
558	112098	88435
559	112263	88207
560	112511	88043
561	112717	87847
562	112963	87681
563	113107	87437
564	113283	87218
565	113475	87010
566	113687	86819
567	113887	86618
568	114100	86427
569	114300	86226
570	114493	86020
571	114672	85803
572	114824	85567
573	115042	85379
574	115243	85180
575	115418	84961
576	115587	84737
577	115733	84497
578	115915	84283
579	116106	84077
580	116307	83877
581	116515	83682
582	116707	83476
583	116939	83299
584	117101	83071
585	117284	82859
586	117508	82676
587	117733	82493
588	117946	82301
589	118177	82123
590	118396	81935
591	118596	81735
592	118819	81550
593	119036	81361
594	119274	81187
595	119494	80999
596	119703	80804
597	119875	80584
598	120104	80403
599	120407	80271
600	120609	80071
601	120804	79867
602	121038	79688
603	121244	79491
604	121464	79303
605	121706	79129
606	121905	78927
607	122098	78721
608	122343	78549
609	122598	78382
610	122812	78190
611	123031	78000
612	123253	77812
613	123495	77637
614	123702	77439
615	123909	77241
616	124042	76998
617	124286	76824
618	124487	76623
619	124739	76453
620	124877	76213
621	125060	76001
622	125205	75766
623	125371	75544
624	125588	75353
625	125739	75122
626	125976	74942
627	126190	74749
628	126386	74546
629	126609	74357
630	126805	74153
631	126993	73945
632	127208	73752
633	127400	73546
634	127617	73355
635	127758	73119
636	127933	72904
637	128122	72696
638	128293	72478
639	128466	72262
640	128692	72075
641	128860	71856
642	129025	71636
643	129223	71433
644	129438	71241
645	129592	71014
646	129752	70792
647	129958	70594
648	130146	70387
649	130371	70200
650	130557	69991
651	130775	69800
652	130928	69574
653	131197	69410
654	131384	69202
655	131565	68991
656	131741	68778
657	131891	68551
658	132075	68342
659	132300	68154
660	132555	67982
661	132765	67786
662	132966	67586
663	133275	67440
664	133513	67258
665	133712	67057
666	133902	66850
667	134119	66658
668	134324	66459
669	134609	66300
670	134851	66119
671	135047	65916
672	135253	65717
673	135456	65517
674	135650	65313
675	135902	65136
676	136159	64962
677	136414	64786
678	136598	64577
679	136947	64445
680	137107	64224
681	137336	64036
682	137549	63840
683	137776	63651
684	137983	63452
685	138176	63247
686	138418	63063
687	138685	62892
688	138900	62696
689	139118	62502
690	139308	62295
691	139526	62101
692	139741	61905
693	139929	61698
694	140168	61512
695	140392	61320
696	140614	61127
697	140802	60920
698	140995	60714
699	141164	60499
700	141362	60295
701	141555	60090
702	141792	59903
703	141992	59701
704	142173	59490
705	142361	59283
706	142531	59068
707	142705	58856
708	142881	58643
709	142998	58407
710	143252	58227
711	143422	58013
712	143609	57806
713	143831	57613
714	144022	57407
715	144260	57220
716	144449	57014
717	144677	56823
718	144873	56619
719	145072	56417
720	145237	56201
721	145367	55972
722	145583	55776
723	145769	55569
724	145980	55371
725	146181	55170
726	146396	54974
727	146535	54749
728	146746	54551
729	146882	54326
730	147075	54122
731	147300	53929
732	147464	53715
733	147617	53496
734	147846	53305
735	148047	53103
736	148304	52922
737	148508	52722
738	148716	52523
739	148960	52337
740	149148	52131
741	149340	51926
742	149498	51710
743	149665	51497
744	149920	51315
745	150136	51118
746	150359	50925
747	150558	50722
748	150762	50522
749	150965	50321
750	151108	50101
751	151273	49887
752	151510	49698
753	151756	49512
754	151963	49312
755	152223	49130
756	152471	48943
757	152730	48760
758	152921	48556
759	153143	48361
760	153363	48165
761	153587	47970
762	153847	47787
763	154079	47595
764	154233	47378
765	154432	47176
766	154703	46996
767	154942	46805
768	155200	46620
769	155504	46449
770	155753	46261
771	155959	46060
772	156173	45862
773	156365	45657
774	156659	45481
775	156894	45289
776	157190	45113
777	157380	44907
778	157593	44708
779	157798	44507
780	158017	44309
781	158270	44121
782	158443	43910
783	158649	43709
784	158886	43516
785	159097	43316
786	159276	43107
787	159521	42916
788	159723	42714
789	159957	42520
790	160158	42317
791	160379	42119
792	160560	41911
793	160771	41711
794	160943	41501
795	161127	41293
796	161298	41083
797	161507	40882
798	161689	40675
799	161846	40461
800	162013	40250
801	162245	40055
802	162452	39854
803	162661	39653
804	162882	39456
805	163082	39253
806	163251	39042
807	163474	38845
808	163686	38645
809	163840	38431
810	163996	38218
811	164229	38023
812	164370	37807
813	164593	37609
814	164849	37419
815	165085	37225
816	165303	37026
817	165509	36824
818	165715	36623
819	165951	36428
820	166227	36242
821	166378	36028
822	166620	35834
823	166802	35627
824	167015	35427
825	167197	35220
826	167435	35025
827	167653	34826
828	167814	34615
829	168038	34417
830	168247	34216
831	168468	34017
832	168681	33817
833	168884	33614
834	169130	33421
835	169352	33222
836	169575	33023
837	169833	32831
838	170067	32635
839	170313	32440
840	170555	32245
841	170770	32044
842	170990	31845
843	171181	31640
844	171398	31439
845	171573	31232
846	171719	31019
847	171969	30824
848	172151	30618
849	172347	30414
850	172557	30212
851	172773	30012
852	172944	29803
853	173145	29600
854	173367	29401
855	173519	29190
856	173703	28984
857	173903	28781
858	174088	28575
859	174266	28368
860	174451	28163
861	174610	27953
862	174812	27751
863	174980	27543
864	175173	27339
865	175357	27133
866	175564	26932
867	175733	26724
868	175929	26521
869	176110	26315
870	176318	26113
871	176486	25906
872	176682	25702
873	176895	25502
874	177094	25299
875	177291	25096
876	177473	24890
877	177636	24682
878	177775	24471
879	177941	24264
880	178107	24057
881	178291	23853
882	178487	23650
883	178674	23445
884	178876	23243
885	179087	23042
886	179273	22838
887	179456	22634
888	179679	22434
889	179872	22231
890	180047	22026
891	180264	21825
892	180547	21633
893	180824	21440
894	181105	21246
895	181412	21056
896	181637	20856
897	181855	20656
898	182108	20459
899	182332	20259
900	182579	20061
901	182764	19856
902	183054	19663
903	183276	19462
904	183507	19263
905	183727	19062
906	183942	18860
907	184175	18660
908	184453	18465
909	184641	18261
910	184874	18061
911	185111	17861
912	185328	17660
913	185492	17453
914	185653	17246
915	185807	17039
916	185933	16829
917	186099	16623
918	186212	16412
919	186340	16203
920	186469	15994
921	186597	15785
922	186731	15577
923	186894	15372
924	187034	15164
925	187163	14956
926	187317	14751
927	187426	14541
928	187553	14334
929	187656	14124
930	187773	13916
931	187896	13709
932	188002	13500
933	188114	13292
934	188239	13086
935	188353	12878
936	188451	12670
937	188533	12461
938	188622	12253
939	188749	12047
940	188813	11838
941	188894	11630
942	188999	11424
943	189089	11217
944	189165	11009
945	189253	10803
946	189347	10597
947	189460	10392
948	189566	10187
949	189668	9982
950	189779	9778
951	189837	9571
952	189940	9367
953	190030	9162
954	190103	8957
955	190183	8753
956	190278	8549
957	190363	8345
958	190450	8142
959	190557	7939
960	190651	7737
961	190727	7533
962	190813	7331
963	190908	7129
964	190990	6927
965	191068	6724
966	191157	6523
967	191248	6322
968	191338	6121
969	191429	5920
970	191513	5719
971	191609	5519
972	191700	5319
973	191788	5119
974	191888	4920
975	191974	4720
976	192065	4521
977	192148	4322
978	192236	4123
979	192337	3925
980	192415	3726
981	192502	3528
982	192586	3330
983	192680	3133
984	192760	2935
985	192852	2738
986	192940	2541
987	193029	2344
988	193124	2147
989	193202	1951
990	193283	1755
991	193369	1559
992	193458	1363
993	193545	1168
994	193639	973
995	193719	777
996	193776	583
997	193832	388
998	193890	194
999	193948	0
